;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8142;femenino;industria;fabrica de;belen;3.0;16.0;2019-05-29;1850000.0;microempresarial
8143;femenino;servicio;variedades;robledo;3.0;7.0;2017-08-15;7377000.0;microempresarial
8144;femenino;industria;fabrica de arepas;aranjuez;2.0;4.0;2016-03-04;4000000.0;microempresarial
8145;femenino;industria;fabrica de;popular;1.0;1.0;2018-10-03;7000000.0;microempresarial
8146;masculino;comercio;tienda;prado;3.0;10.0;2017-03-28;7000000.0;microempresarial
8147;femenino;industria;fabrica de;villa del socorro;2.0;2.0;2017-07-04;7000000.0;microempresarial
8148;femenino;comercio;variedades;la floresta;2.0;12.0;2017-10-31;2000000.0;microempresarial
8149;femenino;comercio;comidas rapidas;guayabal;3.0;15.0;2019-01-22;8200000.0;microempresarial
8150;femenino;servicio;miscelanea;barrio caicedo;2.0;9.0;2016-11-02;5000000.0;microempresarial
8151;femenino;comercio;variedades;boyaca;3.0;5.0;2018-06-07;4000000.0;microempresarial
8152;femenino;servicio;peluqueria;andalucia;2.0;2.0;2017-07-06;5000000.0;microempresarial
8153;femenino;industria;fabrica de;aranjuez;2.0;4.0;2018-10-31;3000000.0;microempresarial
8157;femenino;comercio;comidas rapidas;cabecera san cristobal;2.0;;2018-01-30;7800000.0;microempresarial
8158;femenino;industria;panaderia;manrique central no. 2;3.0;3.0;2016-05-12;6890000.0;microempresarial
8159;femenino;comercio;almacen de ropa en;manrique central no. 1;2.0;4.0;2018-06-08;7000000.0;microempresarial
8160;masculino;servicio;comidas rapidas;santander;2.0;6.0;2016-09-15;1000000.0;microempresarial
8161;femenino;comercio;almacen de ropa en;aranjuez;1.0;4.0;2017-09-25;7300000.0;microempresarial
8162;masculino;comercio;viveros;belen;3.0;16.0;2017-08-10;7000000.0;microempresarial
8163;femenino;industria;fabrica de;barrio caicedo;1.0;9.0;2019-03-14;7250000.0;microempresarial
8164;femenino;servicio;peluqueria;santa monica;3.0;12.0;2018-06-27;7800000.0;microempresarial
